"특별법범",수산업법,소계,-,1256,-,1436,-,1528,-,1367,-,1340
"특별법범",수산자원관리법,소계,-,1802,-,1753,-,1820,-,1267,-,1277
"특별법범",식품위생법,소계,15,12493,14,13138,12,11435,3,8258,9,9029
"특별법범",신용정보의이용및보호에관한법률,소계,-,49,-,55,-,118,-,108,-,82
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,179,527,205,773,262,815,223,437,174,506
"특별법범",아동·청소년의성보호에관한법률(음란물등),소계,81,575,173,747,108,418,126,768,135,873
"특별법범",아동복지법,소계,22,2128,43,3761,50,4463,70,5085,101,6563
"특별법범",액화석유가스의안전관리및사업법,소계,-,291,-,123,-,222,-,102,-,110
"특별법범",약사법,소계,1,2761,2,3052,1,1810,1,1223,1,1380
"특별법범",여객자동차운수사업법,소계,-,2330,3,1552,2,2784,2,1103,5,1545
"특별법범",여신전문금융업법,소계,145,1928,110,1872,99,1818,87,1866,102,1661
"특별법범",영유아보육법,소계,-,464,-,518,-,384,-,416,-,480
"특별법범",예비군법,소계,-,12085,-,9592,-,7586,-,6703,-,5856
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,1,963,-,832,-,576,-,360,-,284
"특별법범",외국환거래법,소계,-,957,-,690,-,604,1,640,-,853
"특별법범",위험물안전관리법,소계,-,497,-,535,-,668,-,472,-,548
"특별법범",유사수신행위의규제에관한법률,소계,-,1104,-,1972,-,2204,-,1998,-,2572
"특별법범",의료기기법,소계,-,420,-,549,-,500,-,654,-,425
"특별법범",의료법,소계,8,4799,8,4872,14,5355,7,6440,12,6758
"특별법범",자동차관리법,소계,172,20460,225,33547,262,25750,228,21692,371,22231
"특별법범",자동차손해배상보장법,소계,393,30382,535,52363,568,39501,340,25563,277,22340
"특별법범",자본시장과금융투자업에관한법률,소계,-,-,-,374,-,431,-,534,-,521
"특별법범",저작권법,소계,260,15985,146,10631,128,8881,37,7405,43,6682
"특별법범",전자금융거래법,소계,1093,27763,453,18489,274,19653,247,23105,311,24362
"특별법범",전파법,소계,1,634,1,496,-,626,2,678,6,1071
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,541,10760,669,10641,681,10586,664,12492,634,12905
"특별법범",조세범처벌법,소계,6,5138,2,4691,3,4407,-,4305,1,4302
"특별법범",주민등록법,소계,870,1744,915,1432,843,1174,958,1158,1021,1150
