No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
85,2018년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,"9,338",104,3,0,0,0,2,99,1,1,1,0,0,0,0,0,0,8,0,11,896,"8,317"
86,2018년,특별법범,낚시관리및육성법,낚시관리및육성법,225,45,34,0,0,0,1,10,2,0,0,0,0,0,0,0,0,1,0,58,106,13
87,2018년,특별법범,노동조합및노동관계조정법,노동조합및노동관계조정법,"1,479",14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,140,"1,325"
88,2018년,특별법범,농수산물유통및가격안정에관한법률,농수산물유통및가격안정에관한법률,44,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,23,11
89,2018년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,"3,008",450,69,0,0,1,148,232,2,0,0,0,0,0,0,0,2,2,0,268,138,"2,146"
90,2018년,특별법범,농지법,농지법,"1,276",125,66,0,0,0,2,57,6,0,0,0,0,0,0,0,3,12,5,153,432,540
91,2018년,특별법범,대기환경보전법,대기환경보전법,"2,624",141,46,0,0,0,1,94,0,0,0,0,0,0,0,3,3,7,0,466,610,"1,394"
92,2018년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,"2,439",848,379,9,0,2,3,455,68,0,0,0,0,0,0,0,4,32,0,40,"1,021",426
93,2018년,특별법범,도로교통법,도로교통법,"14,483",183,117,1,0,1,0,64,28,1,0,0,0,1,1,53,33,988,11,"4,692","4,906","3,587"
94,2018년,특별법범,도로교통법(무면허운전),도로교통법(무면허운전),"25,675",126,46,1,0,1,1,77,29,0,0,0,0,0,2,411,97,"2,477",5,"9,431","10,367","2,730"
95,2018년,특별법범,도로교통법(사고후미조치),도로교통법(사고후미조치),"11,901",25,2,0,0,0,0,23,5,0,0,0,0,0,3,18,17,645,0,"4,017","2,547","4,624"
96,2018년,특별법범,도로교통법(음주운전),도로교통법(음주운전),"142,013",341,2,0,0,0,1,338,123,1,0,0,0,1,74,46,493,"17,158",26,"59,608","61,776","2,367"
97,2018년,특별법범,도로교통법(음주측정거부),도로교통법(음주측정거부),"2,913",8,0,0,0,0,0,8,1,0,0,0,0,0,5,0,7,399,9,"1,093","1,290",101
98,2018년,특별법범,도로법,도로법,"2,336",126,42,0,0,0,1,83,3,0,0,0,0,0,0,0,2,75,7,578,894,651
99,2018년,특별법범,도시및주거환경정비법,도시및주거환경정비법,"1,194",69,17,0,0,0,0,52,1,0,0,0,0,0,0,0,0,2,0,37,528,557
100,2018년,특별법범,독점규제및공정거래에관한법률,독점규제및공정거래에관한법률,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,113
101,2018년,특별법범,디자인보호법,디자인보호법,337,16,5,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,6,51,262
102,2018년,특별법범,마약류관리에관한법률(대마),마약류관리에관한법률(대마),"1,189",42,10,0,0,0,0,32,16,0,0,0,0,0,1,146,122,93,7,46,332,384
103,2018년,특별법범,마약류관리에관한법률(마약),마약류관리에관한법률(마약),"1,349",21,3,0,0,0,1,17,0,0,0,0,0,0,0,43,27,67,1,453,624,113
104,2018년,특별법범,마약류관리에관한법률(향정),마약류관리에관한법률(향정),"6,465",374,108,9,1,2,3,251,52,1,0,0,0,1,11,410,"1,074",511,102,214,"2,129","1,587"
105,2018년,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,233,110,59,0,0,0,0,51,2,0,0,0,0,0,0,0,0,3,0,3,94,21
106,2018년,특별법범,범죄수익은닉의규제및처벌등에관한법률,범죄수익은닉의규제및처벌등에관한법률,409,28,0,1,3,0,5,19,4,0,0,0,0,0,0,0,0,1,0,2,37,337
107,2018년,특별법범,변호사법,변호사법,908,104,24,0,0,0,1,79,8,0,0,0,0,0,0,0,0,15,0,4,158,619
108,2018년,특별법범,병역법,병역법,"6,670",144,81,0,0,0,0,63,5,0,0,0,0,0,12,2,3,136,31,"2,100","3,820",417
109,2018년,특별법범,보조금관리에관한법률,보조금관리에관한법률,737,208,25,0,0,0,0,183,3,0,0,0,0,0,0,0,5,13,0,71,282,155
110,2018년,특별법범,부동산실권리자명의등기에관한법률,부동산실권리자명의등기에관한법률,"1,042",103,3,0,0,0,2,98,14,0,0,0,0,0,0,0,1,4,0,59,311,550
111,2018년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,"1,128",154,11,0,0,0,2,141,6,0,0,0,0,0,0,0,5,11,0,35,258,659
112,2018년,특별법범,부정수표단속법,부정수표단속법,"1,077",123,32,0,0,0,0,91,8,0,0,0,0,0,0,0,1,8,0,44,335,558
113,2018년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,412,152,89,0,0,0,0,63,67,0,0,0,0,0,0,0,1,3,0,7,122,60
114,2018년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,770,105,14,0,0,0,1,90,0,0,0,0,0,0,1,6,1,26,1,89,159,382
115,2018년,특별법범,산업안전보건법,산업안전보건법,"7,442",19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,2,273,572,"6,573"
116,2018년,특별법범,산지관리법,산지관리법,"2,606",152,14,0,0,0,8,130,0,0,0,0,0,0,0,1,0,10,0,372,496,"1,575"
117,2018년,특별법범,상표법,상표법,"3,659",904,557,2,2,1,2,340,19,0,0,0,0,0,0,1,6,23,1,255,825,"1,625"
118,2018년,특별법범,석유및석유대체연료사업법,석유및석유대체연료사업법,"1,071",186,69,0,0,0,0,117,38,0,0,0,0,0,0,0,2,23,0,146,351,325
119,2018년,특별법범,선박안전법,선박안전법,243,7,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,6,0,80,120,29
120,2018년,특별법범,선박직원법,선박직원법,177,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,60,102,4
121,2018년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,"15,127","4,985","2,950",28,3,1,25,"1,978",241,1,1,0,0,0,4,826,435,649,6,312,"5,421","2,247"
122,2018년,특별법범,화재예방·소방시설설치유지및안전관리에관한법률,화재예방·소방시설설치유지및안전관리에관한법률,470,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,53,388
123,2018년,특별법범,수도법,수도법,171,9,3,0,0,0,0,6,0,0,0,0,0,0,0,2,0,5,0,31,102,22
