범죄별(1),범죄별(2),범죄별(3),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
특별법범,외국환거래법,소계,-,1,1,9,-,3,1,4,3,-,-,-,1,-
특별법범,위험물안전관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,유사수신행위의규제에관한법률,소계,-,-,2,1,1,-,-,-,-,-,-,-,-,-
특별법범,유선및도선사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,유해화학물질관리법,소계,129,188,435,505,847,1114,1014,460,-,-,-,-,-,-
특별법범,윤락행위등방지법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,음반·비디오물및게임물에관한법률,소계,87,6,2,1,1,2,-,-,-,-,-,-,-,-
특별법범,의료기기법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,의료법,소계,18,6,14,11,5,3,2,6,5,8,8,14,7,12
특별법범,자동차관리법,소계,111,234,427,350,218,236,277,270,157,172,225,262,228,371
특별법범,자동차손해배상보장법,소계,31,54,66,108,318,408,357,393,367,393,535,568,340,277
특별법범,자본시장과금융투자업에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,자연공원법,소계,-,-,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,저작권법,소계,514,2338,20272,7720,275,318,759,446,249,260,146,128,37,43
특별법범,전기사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,전기통신기본법,소계,-,-,1,2,12,1,-,2,-,-,-,-,-,-
특별법범,전기통신사업법,소계,-,-,-,1,2,-,1,-,-,-,-,-,-,-
특별법범,전염병예방법,소계,-,1,2,-,-,-,-,-,-,-,-,-,-,-
특별법범,전자금융거래법,소계,-,-,-,-,-,-,-,-,418,1093,453,274,247,311
특별법범,전투경찰대설치법,소계,3,2,5,-,-,-,-,-,-,-,-,-,-,-
특별법범,전파법,소계,3,-,1,-,-,-,1,2,-,1,1,-,2,6
특별법범,정보통신망이용촉진및정보보호등에관한법률,소계,620,988,1770,1379,2054,841,865,725,610,541,669,681,664,634
특별법범,정치자금법,소계,-,-,-,-,2,-,-,-,-,-,-,-,-,-
특별법범,조세범처벌법,소계,-,-,4,2,2,-,2,4,1,6,2,3,-,1
특별법범,조수보호및수렵에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주민등록법,소계,56,138,322,449,552,581,936,1109,1014,870,915,843,958,1021
특별법범,주차장법,소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주택건설촉진법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,주택법,소계,-,-,-,-,-,-,-,-,-,-,-,2,-,-
특별법범,증권거래법,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,지방세법,소계,-,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,지하수법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,직업안정법,소계,-,5,6,3,2,4,3,4,2,10,6,2,5,1
특별법범,집회및시위에관한법률,소계,47,22,65,26,2,6,1,11,21,20,6,-,2,4
특별법범,철도법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,청소년보호법,소계,123,209,285,211,131,561,923,1035,1015,760,820,854,745,673
특별법범,청소년의성보호에관한법률,소계,198,203,173,168,55,23,-,-,-,-,-,-,-,-
특별법범,체육시설의설치·이용에관한법률,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,총포·도검·화약류등의안전관리에관한법률,소계,-,7,4,58,19,4,6,6,64,7,3,-,11,7
특별법범,최저임금법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,축산물가공처리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,1,-,-,-,-
특별법범,출입국관리법,소계,1,17,24,4,3,2,1,3,2,10,2,9,6,8
특별법범,컴퓨터프로그램보호법,소계,80,89,200,157,-,-,-,-,-,-,-,-,-,-
특별법범,통신비밀보호법,소계,-,-,-,-,-,-,-,2,1,-,1,-,1,-
특별법범,특가법(도주차량),소계,356,406,491,383,309,331,317,254,217,206,153,132,65,7
특별법범,특허법,소계,-,-,-,1,-,-,-,-,1,-,-,-,-,-
특별법범,폐기물관리법,소계,-,-,1,-,1,-,1,2,-,-,-,-,-,-
특별법범,풍속영업의규제에관한법률,소계,4,1,-,1,-,-,4,4,-,1,-,1,2,-
특별법범,하천법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,학교보건법,소계,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,1,-,-
특별법범,항만법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,항만운송사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,해양오염방지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,1
특별법범,화재로인한재해보상과보험가입에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화재보험법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화재예방·소방시설설치유지및안전관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,화학물질관리법,소계,-,-,-,-,-,-,-,-,168,212,282,201,90,76
특별법범,기타특별법,소계,57,552,1671,1074,838,739,600,855,218,230,288,362,356,421
